,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
19,Henry Anderson,4,0,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,0,0,0,0
20,Bradlee Anae,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,0
21,Romeo Okwara,4,4,0,0,0,0,0,0,0,0,0,0,1.0,6,3,3,1,2,0,0
22,Payton Turner,5,0,0,0,0,0,0,0,0,0,0,0,1.0,12,9,3,3,3,0,0
23,Derick Roberson,5,0,0,0,0,0,0,0,0,0,0,0,1.5,11,6,5,3,4,0,0
24,Derek Rivers,5,1,0,0,0,0,0,0,0,0,0,0,1.0,9,7,2,2,1,0,0
25,Josh Mauro,5,1,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,1,1,0,0
26,Amani Bledsoe,5,2,0,0,0,0,1,0,0,0,0,0,0.0,1,1,0,0,0,0,0
27,Kenny Willekes,6,0,0,0,0,0,1,0,0,0,0,0,2.5,18,11,7,2,7,0,0
28,Tashawn Bower,6,0,0,0,0,0,0,0,0,0,0,0,1.0,4,2,2,1,1,0,0
29,Porter Gustin,6,1,0,0,0,0,0,0,0,1,-6,0,0.0,9,6,3,0,0,0,0
30,Brent Urban,6,4,0,0,0,0,1,0,0,0,0,0,0.0,3,0,3,0,0,0,0
31,Kyle Phillips,7,1,0,0,0,0,0,0,0,0,0,0,1.0,15,6,9,2,3,0,0
32,Harvey Langi,7,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,0
33,Khalid Kareem,7,1,0,0,0,0,0,1,0,1,4,0,0.0,9,5,4,1,2,0,0
34,Jessie Lemonier,7,2,0,0,0,0,0,0,0,0,0,0,1.5,15,8,7,1,3,0,0
35,Jonah Williams,8,0,0,0,0,0,0,0,0,0,0,0,0.0,5,1,4,0,0,0,0
36,Elerson Smith,8,0,0,0,0,0,0,1,0,0,0,0,0.0,8,2,6,0,2,0,0
37,Boogie Basham,8,0,0,0,0,0,0,0,0,0,0,0,2.5,18,11,7,4,3,0,0
38,Damion Square,8,1,0,0,0,0,0,0,0,0,0,0,0.5,9,3,6,0,3,0,0
39,Jalyn Holmes,8,1,0,0,0,0,1,0,0,0,0,0,0.0,14,7,7,2,0,0,0
40,Tyquan Lewis,8,2,1,8,0,8,2,0,1,0,0,0,2.5,14,10,4,3,6,0,0
41,Ronald Blair,8,3,0,0,0,0,0,0,0,1,0,0,1.0,28,12,16,4,4,0,0
42,Ifeadi Odenigbo,9,0,0,0,0,0,0,0,0,1,0,0,0.0,13,7,6,0,3,0,0
43,Patrick Jones II,9,0,0,0,0,0,0,0,0,0,0,0,0.0,7,4,3,0,0,0,0
44,Bunmi Rotimi,9,1,0,0,0,0,0,0,0,0,0,0,1.0,10,5,5,1,1,0,0
45,Jonathan Bullard,9,4,0,0,0,0,1,0,0,0,0,0,0.0,21,8,13,0,1,0,0
46,Akiem Hicks,9,9,0,0,0,0,0,0,0,0,0,0,3.5,25,19,6,5,9,0,0
47,Oshane Ximines,10,0,0,0,0,0,3,0,0,0,0,0,0.0,13,4,9,0,2,0,0
48,Dayo Odeyingbo,10,0,0,0,0,0,0,1,0,0,0,0,0.5,6,5,1,0,1,0,0
